dummy_country,dummy_sales_parent,dummy_brand,dummy_nameplate,dummy_propulsion_system,dummy_segment,dummy_sub_segment,dummy_platform,dummy_s_program_name,dummy_power_kw,report_month,sales_volume
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-04,16
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-05,68
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-06,32
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-07,34
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-08,1
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-09,8
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-10,2
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-11,13
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-12,53
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-01,65
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-02,26
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-03,64
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-04,40
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-05,36
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-06,32
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-07,51
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-08,40
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-09,40
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-10,7
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-11,28
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2025-12,53
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-01,13
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-02,32
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-03,22
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-04,71
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-05,1
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-06,59
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-07,46
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-08,60
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-09,6
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-10,5
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-11,61
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2026-12,59
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-01,33
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-02,9
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-03,39
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-04,18
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-05,9
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-06,31
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-07,49
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-08,69
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-09,46
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-10,50
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-11,23
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2027-12,51
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-01,71
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-02,15
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-03,13
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-04,35
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-05,35
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-06,9
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-07,33
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-08,66
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-09,61
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-10,88
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-11,31
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2024-12,25
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-01,78
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-02,45
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-03,48
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-04,2
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-05,43
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-06,31
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-07,100
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-08,67
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-09,89
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-10,39
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-11,50
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2025-12,44
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-01,46
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-02,89
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-03,59
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-04,39
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-05,10
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-06,48
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-07,20
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-08,52
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-09,75
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-10,24
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-11,4
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2026-12,14
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-01,23
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-02,98
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-03,86
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-04,22
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-05,12
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-06,65
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-07,97
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-08,31
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-09,37
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-10,93
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-11,79
Germany,Skoda,Skoda,Enyaq,BEV,B,Sedan,F8,X2G6,0,2027-12,42
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-01,72
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-02,13
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-03,80
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-04,29
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-05,82
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-06,86
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-07,50
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-08,95
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-09,73
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-10,69
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-11,6
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2024-12,26
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-01,86
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-02,56
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-03,86
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-04,53
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-05,46
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-06,3
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-07,16
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-08,22
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-09,41
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-10,74
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-11,46
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2025-12,64
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-01,61
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-02,39
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-03,22
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-04,65
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-05,65
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-06,26
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-07,19
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-08,56
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-09,40
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-10,75
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-11,90
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2026-12,44
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-01,72
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-02,24
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-03,92
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-04,58
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-05,10
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-06,64
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-07,58
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-08,46
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-09,75
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-10,8
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-11,14
Germany,Skoda,Skoda,Enyaq,ICE,B,Sedan,X2,NB10,210,2027-12,85
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-01,63
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-02,31
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-03,7
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-04,96
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-05,69
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-06,25
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-07,4
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-08,29
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-09,67
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-10,44
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-11,4
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2024-12,73
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-01,20
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-02,98
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-03,6
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-04,26
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-05,55
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-06,93
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-07,73
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-08,61
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-09,68
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-10,39
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-11,69
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2025-12,4
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-01,38
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-02,14
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-03,28
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-04,15
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-05,14
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-06,90
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-07,15
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-08,87
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-09,68
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-10,74
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-11,75
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2026-12,17
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-01,81
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-02,89
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-03,57
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-04,33
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-05,32
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-06,34
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-07,39
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-08,12
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-09,50
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-10,16
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-11,33
Germany,Skoda,Skoda,Superb iV,BEV,B,Sedan,NX,X2G8,0,2027-12,26
Germany,Skoda,Skoda,Fabia,FCEV,B,Sedan,F8,X2G6,0,2024-01,40
Germany,Skoda,Skoda,Fabia,FCEV,B,Sedan,F8,X2G6,0,2024-02,36
Germany,Skoda,Skoda,Fabia,FCEV,B,Sedan,F8,X2G6,0,2024-03,93
Germany,Skoda,Skoda,Fabia,FCEV,B,Sedan,F8,X2G6,0,2024-04,91
